Text,Label
USER lo babi udah minjem jangka panjang malah mikirin kerugian buat diri sendiri dasar gak tau diri lu gak tau terima kasih dia sampe minjemin lo emas gram itu pasti udah ngerasa kasian banget sama hidup lu dan pasti cuma dia yg mau nolongin lo babi lu,Kata Kasar dan Vulgar
USER bisa gw bilang si lu dongo,Kata Kasar dan Vulgar
eh pepek lu ga diajarin ortu lu apa makanya bawa barang sendiri bego malah playing victim udah tau gatau punya siapa malah dipake terus terusan ga dicuci pula setelahnya mau barang gue ditaroh diluar kek didalem kek kalo bukan punya sendiri tangannya dijaga,Kata Kasar dan Vulgar
perasaan bajunya oke otak lu juga jangan ngikut ngilang dongo,Kata Kasar dan Vulgar
kata gue kalo lagi stress drama fav lu isinya makian semua stop ngejadiin org lain pelampiasan ya iu fans yg tolol bin goblok beban sumpah minimal punya mata dipake jgn buta yg ngetik itu kaum lu bgst,Kata Kasar dan Vulgar
BUBAR BUBAR KLUB TOLOL USER,Kata Kasar dan Vulgar
ada anak cowok dilecehin guru ceweknya dikomen mau juga when yh bahkan ketika pelakunya cowok gay pun malah pada victim blaming dgn bilang kenapa ga lo pukul sih kan sama sama cowok cupu banget lo yg speak up dan respon tenangin OP nya justru malah yg cewek²,Non-Cyberbullying
bajingan dimana konten ai slip bikin pusing mau text video gambar bajingan lu pada mending konten brainrot,Kata Kasar dan Vulgar
hal tergila apa yang pernah lo lakuin me waktu kecil ngeroko pinggir rumah ketauan babeh wkwk inget banget gue sampe ga di bolehin keluar rumah seminggu,Non-Cyberbullying
USER orang orang di gerbong itu pada goblok atau gimana sih giliran di internet koar koar masalah LGBT eh pas ada orang dilecehin boti malah diem aja,Kata Kasar dan Vulgar
USER haha savage banget ya anying idealistic tapi tolol di konteks indo emang juara wamendikti yang satu ini score max mau brutal review lain lempar statementnya sini,Kata Kasar dan Vulgar
USER klo gak salah itu yg apa ya cameo gt ada yg jingyuan jd gw ngaceng,Sexual Harassment
gatau ini hoax atau ga tp anjir smp udh ngewe gue jaman smp belom demen cowok jir wkwkwk yg gue heran gaya ngewe nya kek org dewasa bjir kebanyakan bokep,Non-Cyberbullying
pada ga bisa baca kh babi kemarin pada santai aja lu kntl,Kata Kasar dan Vulgar
klian gk perlu pernah jadi korban dulu gw utk berempati sama korban pelecehan seksual kok klo punya otak hrusnya bisa mikir,Non-Cyberbullying
USER IHHH LUCU BANGETT HANUPIS GEULIS,Non-Cyberbullying
USER pantes aja wapres lu fufufafa masih tolol aja elu,Kata Kasar dan Vulgar
lu mau translate eng ke indo tapi masih pake alat bantu buat all of the job aja udah dongo kata gw,Kata Kasar dan Vulgar
komunikasi lu jelek banget wooooo lu tuh presiden tapi mulutnya lemes banget kaya seleb yang jualan sensasi tell your people that this country is safe that YOU RE as president is capable of protecting us instead malah nyari gaduh begini SUMPAH LU SEMUA TOLOL GOBLOK,Kata Kasar dan Vulgar
datang ke gym celingak celinguk liat alat kosong terus dipake tanpa tau fungsinya apa akhirnya lo ngerasa asing dan bego di lingkungan itu tanpa program latihan yang jelas lo gak tau progresnya sampe mana lo gak ngerasa ada tantangan progressive overload akhirnya bosen karena ngerasa gak ke progres lo stuck gak mana mana,Non-Cyberbullying
USER USER itu urusan panpel lo monyet malah nyalahin PERSIB,Kata Kasar dan Vulgar
USER USER USER yauda lo netral aja sambil nuduh orang lain bela taxi goblok akakaka,Kata Kasar dan Vulgar
USER USER ga yakin gue otak udang kyk dy paham crypto palingan bru hbs ngelem,Kata Kasar dan Vulgar
USER USER USER USER itu supirnya yg pake topi melengos maen hp pas mobilnya dia udah keseret otak udang ya begitu gak bakal ada pertanggung jawaban orang dia cuma punya badan ama kontol,Kata Kasar dan Vulgar
USER USER USER coba sebutin agama legal yg di KTP yg membolehkan LGBT makan babi sm LGBT beda ya lo ky mau nyamain makan babi sm pemerkosaan nih ya logika orang awam aja paham kl emg tuhan menciptakan joko dg yanto ga akan itu timbul penyakit aneh,Hate Speech
USER makany otak LGBT itu emg ud jauh kesumpel tokai ga bisa mikir normal pdhl penyakit LGBT itu merusak amp menular semoga LGBT bs hilang dr muka bumi,Hate Speech
ajgg bgt cok anak kantor tadi kan gw war tiket EXO kan trus ga dapet trus gw sedih wajar kannn dan dia bilang yaelah yaudah si ngapain orang cuma nonton orang joget joget ga jelas dalem hari gw kek ANJINGGG TOLOL GOBLOK lu ga nyumbang duit aja ngatain gw JANCOK,Kata Kasar dan Vulgar
CEK HP ADEK NEMU VIDEO DIA GABUT poophd video kalah judi ana harus main bertiga sama cowok di kamar mp dientot paman sendiri dalam mobil,Sexual Harassment
perkara member gk ada di foto aja pikiran nya langsung ke ngewe,Non-Cyberbullying
APASIH TOLL TERNYATA ELU JINK IMPOSTOR NYA GBLKKKKK GAUSA BAWA BAWA GRUP LAIN COOOKK goblok nih nyawit kah lu etmin berani beraninya sebut merk lgsg ajg goblok mancing fanwar aja tololll,Kata Kasar dan Vulgar
tolol ih orang sinting kok bisa jadi orang tua dah,Kata Kasar dan Vulgar
USER USER modelan kaya gini lo jadiin manager goblok sih,Kata Kasar dan Vulgar
ya klo gamau minum obat udh pasti mati cepet disuruh minum obat untuk stabil berdamai sma diri sendiri hidup harus berdampingan sama obat itu emg sulit tp sadar diri aja klo pola makan lo jorok terosss ya susah,Non-Cyberbullying
USER di katain gendut jelek hidup lgi sambil ngeludah,Body Shaming
pengen punya dildo biar bs colmek pake dildo,Non-Cyberbullying
tolol zizi kata gue mah lo putusin si bajingan ini,Kata Kasar dan Vulgar
ihh bajingan banget lu shan,Kata Kasar dan Vulgar
JERAPAH KONTOLL AKHIRNYA SETELAH GUA ANJING ANJINGIN LU PLAYABLE JUGA YA BANGSAT BENCI BANGET GUA ORANG MODELAN LU TAI NYEBELIN SEBEL AAHH AAAHHHH AAAHH MECHANIST,Kata Kasar dan Vulgar
enak banget colmek sampe ketiduran,Non-Cyberbullying
ANJING LU USER ssg tuh jangan dipelihara idol lu noh ga sekali dua kali dijahatin lu nya malah melihara emng anj sekalinya ada yg berani nge callout malah lu suruh minta maaf dimana mana agensi tuh ngelundungi artisnya bukannya malah berpihak ke ssg agensi ANJ,Kata Kasar dan Vulgar
USER dicoliin pernah pesen pijat dari max m gak expect dapat HE eh pas liat punya gw ngaceng malah dicoliin,Sexual Harassment
otak lo benerin lu kalo pikirannya suka salah fokus sama hal gituan benerin otak lo lo kalo jadi laki yang bener bener laki lo nunduk di sosmed lo skip blog goblok jangan dipelihara,Kata Kasar dan Vulgar
EEWWWWW cowonya sender EWWHHHH BANGET nder pertanda lu harus udahan hobi atau kesukaan lu aja diatur atur gini merendahkan diri padahal kalau gentleman mah berusaha lebih baik belum apa apa udah merendahkan diri dan mundur DIH CUPU,Kata Kasar dan Vulgar
USER oi babi buka dm lu klo ga cupu,Kata Kasar dan Vulgar
USER repot ya ceweknya udah usaha banget jaga diri cowoknya spek bajingan modelan bakal nularin penyakit ga sih tuh pikir ulang deh buat kebaikan lo n masa depan pikir ya bukan pake perasaan,Kata Kasar dan Vulgar
USER pas awal malu malu pas ngewe seeing ketawa pas udah keluar tidur kelelapan,Sexual Harassment
USER harus di entot sampe nangis,Sexual Harassment
bola liar bola liar iya anjing anak lu tu liar orang mesum kalo kena punishment doang kagak ada efek jeranya ya tolol,Kata Kasar dan Vulgar
USER berak sekebon lo pembayaran aja lo aktif banget ini koneksi mati tiap malam jam sekarang mati kira ini bansos bangsat nih layanan,Kata Kasar dan Vulgar
USER twitter isinya lgbt goblok berasa diatas awan dan gasadar dirinya itu goblok,Hate Speech
USER dongo lu,Kata Kasar dan Vulgar
emng babi lu c fans semoga niat jahat lu pada balik ke diri lu sendiri dah haters anjg,Kata Kasar dan Vulgar
yang gini ketebak sih asalnya dri kaum mana wkwk sirik banget manusia kontol,Kata Kasar dan Vulgar
USER BABI BAU TAI TINGGAL TUNGGU AJA LO DISAMPERIN ORG DIGEBUKIN BENERAN ANJING,Kata Kasar dan Vulgar
USER USER USER USER makanya dibaca huhhhh otak udang,Kata Kasar dan Vulgar
power apasih lu kodok zuma sok iye banget lagian ngapain juga hatuha ke tempat orang yang hidup nya penuh asap rokok dan seks bebas akhlak jelek muka pun jelek,Body Shaming
ayat sucimu tak pernah mampu meruntuhkan nalar kafir kami karena nalar kami berdiri di atas batu karang bukti sejarah bukan pasir apologi wahyu langitmu tak kuasa meretas kedaulatan berpikir kami yg kafir sistem kafir kami tidak menerima unverified input dari abad ke hidayahmu tak mampu menembus firewall kafir logika kami kami hanya tunduk pada data yg bisa diuji bukan ancaman yg dipaksakan kami tetap stay الكفار proud الكفار karena bagi kami menjadi kafir adalah pengakuan atas keberanian untuk tetap menggunakan akal di tengah lautan kepatuhan buta,Hate Speech
abis leg day bawaannya pengen ngentot brutal,Non-Cyberbullying
USER USER USER MONYET eh itu angkot kabupaten ngapain lo kasih masuk ke kota gue pak USER tolong deh yang halangin daripada nanti penumpang yg bermental preman turun tangan buat hancurin para babi babi ini,Kata Kasar dan Vulgar
lu gaperna mens kah anjing,Kata Kasar dan Vulgar
nikah aja sama mak lo anjing gausah makan masakan gua,Kata Kasar dan Vulgar
abis nonton jangan panggil mama kafir yaallah nangis banjir kali keknya efek udah mama mama,Non-Cyberbullying
USER USER kerja kontol itu gmna bang ganteng,Kata Kasar dan Vulgar
iya tau dongo itu gratis tapi jangan lu borong juga kali ahh males bgt idgaf with u huhh,Kata Kasar dan Vulgar
USER USER dongo lu monyet kontol,Kata Kasar dan Vulgar
yang nyebarin rumor hc smoga hidup lu ga tenang BABI BANGET BIAS GUE LAGI DIEM MALAH DISENGGOL MAKSUD LU APE JING,Kata Kasar dan Vulgar
USER USER gelagapan dimana lu yg koar kenapa gue gelagapan gue cuma minta sumber dpat sumber gak jelas pun ya udah lalu soal tujuan komen lu itu sebatas pamer presentase DNA guna dan fungsinya gak jelas duta babi gali sumber lagi deh,Kata Kasar dan Vulgar
USER USER yaudah gausah kerja di daycare monyet statement lu ZEROO WOI MINUS TOLOL,Kata Kasar dan Vulgar
temen gw bro pinjem sejuta dong buat jalan sama cewe gue nih besok gw balikin besok pasti balik iya besok amannn duitnya baru ada besok yaudah lu jalan sama cewe lu besok aja anjing lo,Kata Kasar dan Vulgar
USER USER hadeh akun kosongan ini lagi lo bikin akun kalo cuma buat ngehate ngapain anj cupu lo,Kata Kasar dan Vulgar
gweh kudu cut sugar soalnya kondisi muka gw udah jelek bgt e melar dimana mana,Non-Cyberbullying
USER USER elo kalo jdi kpopers malah ngatain orang monyet anak anjing mending lo tobat dengerin lagu wali deh gila gegara stan grup kpop doang ampe gaada etika ngatain orang anak anjing segala gila lo berobat sono beribadah inget tuhan kocak jangan billboards aj yang lo pentingin,Kata Kasar dan Vulgar
USER BAJINGAN LO TAUUUUUU GW DAH DI SINI DARI JAM UDAH JAM BIS TERAKHIR KOTA NGENTOT APA IYA SEMUA ORANG KE BLOK m ANJING TUTUP AJA DAH BLOK m MALES GW BABI MACET BGT KONTOLLLL,Kata Kasar dan Vulgar
normalize penjarain orang yang nerobos palang rel dan nemper kereta please biar semua orang stop tolol di perlintasan,Non-Cyberbullying
makanya aku suka menyendiri daripada berteman dengan orang kafir jahiliah dan toxic,Hate Speech
USER penyebab awal yg tolol yg hrus bertnggung jwab perushaan taxi itu hrus nya yg bertnggung jwab,Kata Kasar dan Vulgar
gw ga akan lupa hate train parah yg tae terima krn org muna sialan yg sengaja besar besarin masalah amp pura peduli padahal tujuan aslinya biar hate ke t makin menggila tp saat fav mereka lakuin hal yg lbh parah mereka auto tiba lu apa itu boikot apa itu genoside kontol,Kata Kasar dan Vulgar
menurut gue sks paling mujur adalah ketika lu masuk kelas dan dengerin semua omongan dosen dan mencatat bcs lu jadi PAHAAAMMMM even tho sks menurut GUE ya walaupun agak bego dikit kadang tp still ok bgt,Non-Cyberbullying
haters babi musnah dah lu pada anjing,Kata Kasar dan Vulgar
USER USER lu OOT bangsat gue bingung menanggapi thread yang lu kasih soalnya gue gak tau konteksnya apaan tapi gue baca barusan katanya si bulan itu halu gegara ngobrol sama haisa di website anon send the song dari situ harusnya orang orang pada sadar kalo dia halu,Kata Kasar dan Vulgar
tomang mati lampu semenit nyala semnenit mati USER goblok lu ngapain sih orang balik kerja butuh listrik butuh air malah mati tolol USER lu kagak becus banget kerja ya,Kata Kasar dan Vulgar
USER ngaceng gak,Sexual Harassment
USER ngaceng gak,Sexual Harassment
gue kalau lagi sagne gini sekalinya ngewe kek org kesetanan biasanya,Non-Cyberbullying
lagi akun bocah ini merasa bener tp deact akun cupu jing makanya belajar yg bener jgn war trus lu urusin USER,Kata Kasar dan Vulgar
pernah sm anak nge gym otot gede tp kontol kecil dan dia mengakui klo emg kecil padahal gue udh diem aja g ngomong apa,Sexual Harassment
USER keknya iya ka translatenya aku juga awalnya pake inggris cuma oas di translate in ko bedaa yaudah diganti aja maklumin translate nya kafir jadi gatau,Non-Cyberbullying
muka gue jelek bgt kalo lagi serius,Non-Cyberbullying
LAMA BGT SIH APRIL DUID BULANAN GUE UDAH HABIS BIS BENERAN NOL,Non-Cyberbullying
dia kalo jilmek tuh enak bgt kacau,Sexual Harassment
ada yg mau temenin aku colmek,Non-Cyberbullying
duh iran tuh masuk bucket list travel gw banget emg mati aja lo anjerrrrrr USER,Kata Kasar dan Vulgar
FAAAGGHHH KATA GW TEHH KENAPA SIH ADA AJA MAKAN SAMBIL NANGIS ITU BENER GAENAK ANJING BANGSAT LU BISA GAK NTAR AJA MINIMAL TUNGGU GW SELESAI MAKAN,Kata Kasar dan Vulgar
gw udh d tahap benci bgt anjing sm fansnya si onoh tottt bias lu literally mutusin buat out buat pergi ninggalin temen temennya goblok recokin dh bias lu sendiri seng egois tu sape yg kena malah member anjing lu semua,Kata Kasar dan Vulgar
orang orang tau diri dong anjing goblok lu ngentot bgt anjing gua kesel sm lu ya dongo,Kata Kasar dan Vulgar
wts exo wts exo lu gua wts di akherat babi,Kata Kasar dan Vulgar
eh kontol kalo ga mau nonton LYKN jangan antri masuk web abis itu di WTS ya anak anjing BUBAR LO PADA NGENTOT,Kata Kasar dan Vulgar
ah ngentot loe,Kata Kasar dan Vulgar
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
pembersihan tl,Non-Cyberbullying
huu monyet lu,Kata Kasar dan Vulgar
USER USER bajingan lu,Kata Kasar dan Vulgar
USER USER bajingan lu,Kata Kasar dan Vulgar
USER dia itu mnrt aku haters carmen loh akunya aja yuha sama member lain smua tp meng skip carmen bangsat mmg lu USER,Kata Kasar dan Vulgar
kasus tai anjinh bangsat yg ngelaporin sialan lo anjg,Kata Kasar dan Vulgar
it s to the point where gw gapernah mau ngaku gw lulusan mana skrg jujur malu banget udh kmrn si bahlil skrg grombolan bocah otak udang pelaku KS,Kata Kasar dan Vulgar
emang apa sih baunya anjir jijik banget lu tolol,Kata Kasar dan Vulgar
gampang ya minta maaf mati aja gasih lo pelaku KS tuh paling hina najis ga layak hidup sih apa yg lo lakuin ke korban traumanya seumur hidup bangsat gampang bgt minta maaf pake nangis pula jijik najis,Kata Kasar dan Vulgar
lagipula aku sejak dulu sudah jatuh cinta pada sosok rasulullah muhammad walau dulu beliau juga kerap zalimi kaumnya kaum quraisy yang masih kafir musyrik menyembah patung berhala dan dizalimi yahudi juga,Non-Cyberbullying
USER orang TOLOL ini punya anak gak sie anaknya ada yg normal dan punya rasa maklu gak punya bapak TOLOL spt ini,Kata Kasar dan Vulgar
oh jadi hewan piaraan di negara dunia pertama white household enak ya ga perlu bayar pajak ga perlu kerja ga perlu pusing itu kan yg diperlihatkan babi jink monyet kambing lo tau ga dulu sering ada youtube channel tentang penyiksaan hewan tapi kena banned semua,Non-Cyberbullying
USER USER ihh babi lo anj lah,Kata Kasar dan Vulgar
kenapa sih exol sekarang gak pernah ngeladenin setiap di call out army cupu lu yahh wkwk berani nya cuma ke bbhls doang si monyet,Kata Kasar dan Vulgar
plis bilang kalo abis itu lu katain dia kontol cuz wtf is this shit opini tolol,Kata Kasar dan Vulgar
ciumannya sama memek aku enak baby,Sexual Harassment
lu bener bener bajingan,Kata Kasar dan Vulgar
selama ini sama orang lebih tua gue emang segan buat lu gak akan pernah segan LU PIKIR GUE GA BERANI NGATAIN LU BABI DI DEPAN KOMUK LU,Kata Kasar dan Vulgar
no offense tapi sopir bus yg membawa jamaah haji lu bajingan berasa prioritas banget tapi gk ngasih jalan blas buat yg lain,Kata Kasar dan Vulgar
USER badan lo kurus akan cepat dapat pengki biar semua org tau klo lo skit ga akan di tolong org bjingan kontol babi lo setan,Body Shaming
pgn nyobain ngewe di kampus,Non-Cyberbullying
ratmys nurul kabupaten badan bau sampah makanya punya internet tuh dipake jangan dengerin suara jelek oppa lo mulu yang merusak otak permanen jadinya lo goblok kayak sekarang,Body Shaming
prabowo gendut jelek,Body Shaming
USER USER gass hilangkan LGBT krna penyakit jgn sampe ada mimi peri yg laen di indonesia,Hate Speech
cupu lu ahh USER wkwkwk ntnt,Kata Kasar dan Vulgar
LU DIEM KONTOL GAJI GUE CUMA k SEBULAN DENGAN TANGGUNG JAWAB SEABREK DAN LU BANYAK MAU TANPA TAU KEADAAN DI LAPANGAN GUE GAK MATI BESOK AJA UDAH SYUKUR BAJINGAN,Kata Kasar dan Vulgar
cewe yang mau di jilmek hari ini chat ya,Sexual Harassment
USER kontol,Kata Kasar dan Vulgar
USER kontol,Kata Kasar dan Vulgar
USER kontol,Kata Kasar dan Vulgar
USER kontol,Kata Kasar dan Vulgar
USER kontol,Kata Kasar dan Vulgar
USER kontol,Kata Kasar dan Vulgar
ikhtiar biar bisa jadi bobrut dan tobrut,Non-Cyberbullying
USER USER SOP lu jadi pembunuh anjing sumpahin dosa sampai mati buat seluruh karyawan lo,Kata Kasar dan Vulgar
USER USER USER bikin akun kosongan cuma buat hate member gini cupu lu cupu wkwkwkwkwkkwk,Kata Kasar dan Vulgar
USER kalau share berita jgn nanggung datang ke israel jgn berita hoax dasar otak udang,Kata Kasar dan Vulgar
USER USER sedungu dungunya babi dan monyet masih pada punya otak termul ini hewan bangsat jenis apa otak gak punya hatipun hampa sampah murahan gak guna blasss,Kata Kasar dan Vulgar
USER kalian mw entot depanku kh,Sexual Harassment
PACAR AKU GANTENG BANGET HUWAAAAAAAAAAAAAAAA,Non-Cyberbullying
kenapa sih ga pajak orang kaya aja yg lo tarik babi,Kata Kasar dan Vulgar
lagi hamil apa nggak kuat aja bang kalo dientot sampe kontolnya patah,Sexual Harassment
lu ngalahin babi sama monyet pak lebih rakus dari binatang lu makan dah tuh uang haram sampe mati perut meledak,Kata Kasar dan Vulgar
bajingan lah tidur pun gw udah gak nyenyak ini tega banget si anjeng semoga berkah deh duit gw yg lo potong itu bangsat keringat gw bangun subuh merem melek,Kata Kasar dan Vulgar
najis lama lama punya laki kek bencong gaperna khawatirin cewnya sampe temen gua bilang run pun gua masih mikir dia baik bajingan wkwk ko lu nahan di beginian dep anjing,Kata Kasar dan Vulgar
woy bajingan USER turun lo anjing,Kata Kasar dan Vulgar
USER USER aku ga terima barang ku nggak pernah di kirim taun dan semoga karma lo jelek sejelek jeleknya,Kata Kasar dan Vulgar
nah ini goblok klo lu bener mau bebenah USER amp pt lib terapin aturan standar yg jelas ke pihak broadcast biar ga tolol broadcast nya USER terapkan aturan min brpa kamera disudut mana aja terapkan aturan stadion infrastruktur penunjang ke pihak klub duit sanksi lu kmnain,Kata Kasar dan Vulgar
USER USER USER biasa cowo otak udang masalah begini nyariin kalo ga nyalahin feminis dikiranya feminis ngajarin kita jadi matre,Kata Kasar dan Vulgar
lu tuh orang indo jing liat kurs lu udah k tuh sok ekslusif banget ngatain tiket konser murah itu tur juga masih lama tapi udah sold kaga ada hubungannya kcharts sama tur di amerika latin emang mereka streaming pake melon kah dongo,Kata Kasar dan Vulgar
USER aduh brooooo ngapa lo diem bae bkan nya dgibeng bae babi model gitumah,Kata Kasar dan Vulgar
ngentot anjing kontol lu semua peler,Kata Kasar dan Vulgar
zionis kaya lu emang goblok bedain ngebom saudi arabia dengan dengan ngebom haramain aja lu dongo,Hate Speech
hanya otak udang yang bilang iran menang pemimpin tertinggi tewas pejabat penting tewaa negara hancur berkeping² lalu teriak IRAN WIN kata syahroni goblok lu,Kata Kasar dan Vulgar
USER USER berarti dulu telanjang bulat dong jalan keliling batu hitam itu enak bener ya pasti sambil ngewe rame,Sexual Harassment
stop nyepam promo lu yang maksa cust dipindahin tiba tiba ke web lu ya bangsat USER,Kata Kasar dan Vulgar
USER ibarat lu cerita rahasialu ke emak emak rumpi alias bego bgt,Kata Kasar dan Vulgar
boleh ga sih cuckold tapi gapunya pasangan gua seneng bngt liat orang ngewe langsung bjir wkwkwk,Non-Cyberbullying
komdigi ngaceng liat badut,Kata Kasar dan Vulgar
udah sange berat rela samperin ayang jauh jauh,Non-Cyberbullying
najis benci bgt ajg org gada nyenggol fandom lu gausah ikut campur ngentod lu itu ga diajak tolol bikin emosi aja lu babi najiss pkpm anjingg,Kata Kasar dan Vulgar
jadi inget pernah kerja di startup ownernya ngirim stiker cewe tobrut di grup wa yg lain cuma ketawa sejak itu ilang respect rasanya,Non-Cyberbullying
njir lu bego ya,Kata Kasar dan Vulgar
kenapa enak banget ngewe anak tetangga umur tahun ajir,Sexual Harassment
bersyukur anjing lu gua bangunin,Kata Kasar dan Vulgar
USER se hopeles nya gue cari pasangan gue gak bakalan mau balik ke mantan yg suka main sama banyak cewek iya gen lu bagus tapi kalo misalnya dia ngasih penyakit alih ngasih anak emang lu mau pikir lagi baik gen lu bagus ya lu juga harus nyari gen yg bagus juga dong jgn bego,Kata Kasar dan Vulgar
heleh si paling paling menyatukan standar lo aja masih ganda FIFA monyet,Kata Kasar dan Vulgar
bangsat gue hamilin lo ya zizi,Sexual Harassment
